	locus_tag	product
1	Blon_0002	hypothetical protein
2	Blon_0003	DNA polymerase III, beta subunit (EC 2.7.7.7)
3	Blon_0004	DNA replication and repair protein RecF
4	Blon_0005	hypothetical protein
5	Blon_0006	DNA gyrase subunit B (EC 5.99.1.3)
6	Blon_0007	DNA gyrase subunit A (EC 5.99.1.3)
7	Blon_0008	hypothetical protein
8	Blon_0009	ATPase
9	Blon_0010	hypothetical protein
10	Blon_0011	glutamate dehydrogenase (NADP) (EC 1.4.1.4)
11	Blon_0012	addiction module toxin, RelE/StbE family
12	Blon_0013	addiction module antitoxin, RelB/DinJ family
13	Blon_0016	hypothetical protein
14	Blon_0017	hypothetical protein
15	Blon_0018	hypothetical protein
16	Blon_0019	metallophosphoesterase
17	Blon_0020	phosphonate ABC transporter, inner membrane subunit
18	Blon_0021	phosphonate ABC transporter, inner membrane subunit
19	Blon_0022	phosphonate ABC transporter, ATPase subunit
20	Blon_0023	phosphonate ABC transporter, periplasmic phosphonate-binding protein
21	Blon_0024	transcriptional regulator, RpiR family
22	Blon_0025	Haloacid dehalogenase domain protein hydrolase
23	Blon_0026	ATPase (AAA+ superfamily)-like protein
24	Blon_0027	protein of unknown function DUF45
25	Blon_0028	hypothetical protein
26	Blon_0029	Ferritin, Dps family protein
27	Blon_0030	protein of unknown function DUF21
28	Blon_0031	hypothetical protein
29	Blon_0034	carbonic anhydrase
30	Blon_0035	alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen
31	Blon_0036	FAD-dependent pyridine nucleotide-disulphide oxidoreductase
32	Blon_0037	major facilitator superfamily MFS_1
33	Blon_0038	hypothetical protein
34	Blon_0039	Integrase, catalytic region
35	Blon_0040	transposase, mutator type
36	Blon_0041	hypothetical protein
37	Blon_0042	regulatory protein, LacI
38	Blon_0043	carbohydrate ABC transporter substrate-binding protein, CUT1 family (TC 3.A.1.1.-)
39	Blon_0044	carbohydrate ABC transporter membrane protein 1, CUT1 family (TC 3.A.1.1.-)
40	Blon_0045	carbohydrate ABC transporter membrane protein 2, CUT1 family (TC 3.A.1.1.-)
41	Blon_0046	hypothetical protein
42	Blon_0047	putative xylan esterase
43	Blon_0049	hypothetical protein
44	Blon_0050	hypothetical protein
45	Blon_0051	putative transcriptional regulator
46	Blon_0053	extracellular solute-binding protein, family 5
47	Blon_0054	binding-protein-dependent transport systems inner membrane component
48	Blon_0055	binding-protein-dependent transport systems inner membrane component
49	Blon_0056	ABC transporter related
50	Blon_0057	hypothetical protein
51	Blon_0058	hypothetical protein
52	Blon_0059	Phosphoenolpyruvate carboxylase, type 1 (EC 4.1.1.31)
53	Blon_0060	protein of unknown function DUF1212
54	Blon_0061	SSS sodium solute transporter superfamily
55	Blon_0062	hypothetical protein
56	Blon_0063	Amidohydrolase 3
57	Blon_0064	tryptophanyl-tRNA synthetase (EC 6.1.1.2)
58	Blon_0065	hypothetical protein
59	Blon_0066	two component transcriptional regulator, LuxR family
60	Blon_0067	hypothetical protein
61	Blon_0068	major facilitator superfamily MFS_1
62	Blon_0069	narrowly conserved hypothetical protein
63	Blon_0070	glycogen/starch/alpha-glucan phosphorylase
64	Blon_0071	hypothetical protein
65	Blon_0072	Rhomboid family protein
66	Blon_0073	protein of unknown function UPF0233
67	Blon_0074	protein of unknown function DUF881
68	Blon_0075	sortase family protein
69	Blon_0076	glutamine amidotransferase of anthranilate synthase
70	Blon_0077	protein kinase
71	Blon_0078	protein kinase
72	Blon_0079	cell elongation-specific peptidoglycan D,D-transpeptidase
73	Blon_0080	cell elongation-specific peptidoglycan biosynthesis regulator RodA
74	Blon_0081	protein phosphatase 2C domain protein
75	Blon_0082	FHA domain containing protein
76	Blon_0083	FHA domain containing protein
77	Blon_0084	peptidase S9, prolyl oligopeptidase active site domain protein
78	Blon_0085	alpha/beta hydrolase fold protein
79	Blon_0086	protein of unknown function DUF6, transmembrane
80	Blon_0087	hypothetical protein
81	Blon_0088	protein of unknown function DUF470
82	Blon_0089	methionine-R-sulfoxide reductase
83	Blon_0090	hypothetical protein
84	Blon_0091	hypothetical protein
85	Blon_0092	DNA-cytosine methyltransferase
86	Blon_0093	protein of unknown function DUF74
87	Blon_0094	Hly-III family protein
88	Blon_0095	heat shock protein Hsp20
89	Blon_0096	ThiJ/PfpI domain protein
90	Blon_0097	hypothetical protein
91	Blon_0098	hypothetical protein
92	Blon_0099	hypothetical protein
93	Blon_0101	tRNA-guanine transglycosylase (EC 2.4.2.29)
94	Blon_0102	peptidase S1 and S6, chymotrypsin/Hap
95	Blon_0103	heavy metal translocating P-type ATPase
96	Blon_0104	urea-binding protein
97	Blon_0105	urea ABC transporter membrane protein
98	Blon_0106	urea ABC transporter membrane protein
99	Blon_0107	urea ABC transporter ATP-binding protein
100	Blon_0108	urea ABC transporter ATP-binding protein
101	Blon_0109	high-affinity nickel-transporter
102	Blon_0110	urease, gamma subunit
103	Blon_0111	urease, alpha subunit
104	Blon_0112	UreE urease accessory domain protein
105	Blon_0113	Urease accessory protein UreF
106	Blon_0114	urease accessory protein UreG
107	Blon_0115	Urease accessory protein UreD
108	Blon_0116	FAD-dependent pyridine nucleotide-disulphide oxidoreductase
109	Blon_0117	Heat shock protein. Metallo peptidase. MEROPS family M48B
110	Blon_0118	major facilitator superfamily MFS_1
111	Blon_0119	G/U mismatch-specific uracil-DNA glycosylase (EC 3.2.2.-)
112	Blon_0120	fructose-bisphosphate aldolase (EC 4.1.2.13)
113	Blon_0121	hypothetical protein
114	Blon_0122	hypothetical protein
115	Blon_0123	Adenylosuccinate synthetase (EC 6.3.4.4)
116	Blon_0124	Cl- channel, voltage-gated family protein
117	Blon_0125	Camphor resistance CrcB protein
118	Blon_0126	Camphor resistance CrcB protein
119	Blon_0127	transcriptional regulator, LacI family
120	Blon_0128	Sucrose phosphorylase
121	Blon_0129	major facilitator superfamily MFS_1
122	Blon_0130	major facilitator superfamily MFS_1
123	Blon_0131	ketol-acid reductoisomerase (EC 1.1.1.86)
124	Blon_0132	cobalt transport protein
125	Blon_0133	ABC transporter related
126	Blon_0134	BioY protein
127	Blon_0135	zinc finger, CHY domain protein
128	Blon_0136	ketol-acid reductoisomerase (EC 1.1.1.86)
129	Blon_0137	alpha amylase, catalytic region
130	Blon_0138	transcriptional regulator, LacI family
131	Blon_0139	4-alpha-glucanotransferase
132	Blon_0140	Alkaline phosphatase
133	Blon_0141	chaperone protein DnaK
134	Blon_0142	GrpE protein
135	Blon_0143	heat shock protein DnaJ domain protein
